ix,company_name_en,company_name_cn,industry,ticker_b,name_b,ticker_a,name_a,ticker_en
1,Inesa Intelligent Tech ,云赛智联股份有限公司 ,软硬件产品和综合解决方案 ,900901,云赛B股,600602,云赛智联,ysbg
2,Shanghai Shibei Hi-tech,上海市北高新股份有限公司,房地产,900902,市北B股,600604,市北高新,sbbg
3,Dazhong Transportion Group,大众交通(集团)股份有限公司????????,道路运输业??,900903,大众B股,600611,大众交通,dzbg
4,Shanghao Shenqi Pharmaceutical,上海神奇制药投资管理股份有限公司???,医药制造业??????,900904,神奇B股,600613,神奇制药,sqbg
5,Lao Feng Xiang,老凤祥股份有限公司??????,其他制造业?,900905,老凤祥B,600612,老凤祥,lfxb
6,Pengqi Technology Development,鹏起科技发展股份有限公司??????,有色金属冶炼及压延加工,900907,鹏起B股,600614,鼎立股份,stpqb
7,Shanghai Chlor-Alkali Chemical,上海氯碱化工股份有限公司?????,化学原料和化学制品制造业?,900908,氯碱B股,600618,氯碱化工,ljbg
8,Shanghai Huayi Group,上海华谊集团股份有限公司,化工行业,900909,华谊B股,600623,华谊集团,hybg
9,Shanghai Highly Group ,上海海立(集团)股份有限公司??,通用设备制造业,900910,海立B股,600619,海立股份,hlbg
10,Shanghai Jinqiao Development,上海金桥出口加工区开发股份有限公司??,房地产业?,900911,金桥B股,600639,浦东金桥,jqbg
11,Shanghai Waigaoqiao Development,上海外高桥集团股份有限公司,房地产,900912,外高B股,600648,外高桥,wgbg
12,Shanxi Guoxin Energy,山西省国新能源股份有限公司,公用事业,900913,国新B股,600617,国新能源,gxbg
13,Shanghai Jinjiang Investment,上海锦江国际实业投资股份有限公司?,道路运输业,900914,锦投B股,600650,锦江投资,jtbg
14,Zhonglu Co,中路股份有限公司??????,铁路、船舶、航空航天和其他运输设备制造业,900915,中路B股,600818,中路股份,zlbg
15,Shanghai Phoenix Enterprise ,上海凤凰企业(集团)股份有限公司,文教休闲,900916,凤凰B股,600679,金山开发,fhbg
16,Shanghai Haixin Group,上海海欣集团股份有限公司??????,纺织业??????,900917,海欣B股,600851,海欣股份,hxbg
17,SYP Glass Group,上海耀皮玻璃集团股份有限公司,非金属矿物制品业??,900918,耀皮B股,600819,耀皮玻璃,ypbg
18,Shanghai Greencourt Investment ,上海绿庭投资控股集团股份有限公司?????,资本市场服务?,900919,绿庭B股,600695,绿庭投资,ltbg
19,Shanghai Diesel Engine,上海柴油机股份有限公司??,通用设备制造业??,900920,上柴B股,600841,上柴股份,scbg
20,Danhua Chemical Technology,丹化化工科技股份有限公司????????,化学原料和化学制品制造业?,900921,丹科B股,600844,丹化科技,dkbg
21,Shanghai Sanmao Enterprise ,海三毛企业(集团)股份有限公司??????,纺织业????,900922,三毛B股,600689,上海三毛,smbg
22,Shanghai Bailian Group,上海百联集团股份有限公司?,零售业?,900923,百联B股,600827,百联股份,blbg
23,Shang Gong Group,上工申贝(集团)股份有限公司?,专用设备制造业?,900924,上工B股,600843,上工申贝,sgbg
24,Shanghai Mechanical & Electrical,上海机电股份有限公司??????,通用设备制造业,900925,机电B股,600835,上海机电,jdbg
25,Shanghai Baosight Software,上海宝信软件股份有限公司,软件和信息技术服务业?,900926,宝信B,600845,宝信软件,bxb
26,Shanghai Material Trading,上海物资贸易股份有限公司???,批发业??,900927,物贸B股,600822,上海物贸,wmbg
