ticker_b;ticker_en;Div_2019;Div_2019_date;Div_2018;Div_2018_date;Div_2017;Div_2017_date;Div_2016;Div_2016_date
900901;ysbg;0.06;07/26/19;0.061;07/27/18;0.054;06/01/17;0.037;06/07/16
900902;sbbg;0.025;05/16/19;0.012;06/04/18;0.02;05/26/17;0.02;05/19/16
900903;dzbg;0.12;07/23/19;0.12;06/21/18;0.075;06/08/17;0.1;06/13/16
900904;sqbg;0;NA;0.03;07/27/18;0.03;07/27/17;0.03;07/08/16
900905;lfxb;1.1;08/14/19;1.05;07/17/18;1;07/17/17;0.96;07/18/16
900907;stpqb;0;NA;0;NA;0.02;05/31/17;0.01;06/28/16
900908;ljbg;0.12;07/08/19;0.035;06/13/18;0;NA;0;NA
900909;hybg;0.26;06/20/19;0.1;06/12/18;0.06;06/29/17;0.105;06/24/16
900910;hlbg;0.15;07/30/19;0.12;07/03/18;0.1;07/27/17;0.08;07/27/16
900911;jqbg;0.3;07/24/19;0.26;07/12/18;0.17;07/13/17;0.14;07/13/16
900912;wgbg;0.22;07/19/19;0.2;07/13/18;0.2;07/07/17;0.15;07/28/16
900913;gxbg;0.02;07/02/19;0;NA;0;NA;0.15;06/24/16
900914;jtbg;0.25;07/03/19;0.25;07/06/18;0.25;07/07/17;0.25;07/27/16
900915;zlbg;0.05;08/08/19;0;NA;0;NA;0.03;08/02/16
900916;fhbg;0;NA;0;NA;0;NA;0;NA
900917;hxbg;0.035;07/29/19;0.03;07/26/18;0.023;06/29/17;0.07;07/22/16
900918;ypbg;0.03;06/28/19;0.016;08/13/18;0.073;07/24/17;0;NA
900919;ltbg;0;NA;0;NA;0;NA;0;NA
900920;scbg;0.047;07/03/19;0.043;07/03/18;0.035;07/13/17;0.035;08/12/16
900921;dkbg;0;NA;0;NA;0;NA;0;NA
900922;smbg;0.017;07/08/19;0.015;07/06/18;0;NA;0;NA
900923;blbg;0.18;08/01/19;0.18;07/23/18;0.18;08/03/17;0;NA
900924;sgbg;0;NA;0;NA;0;NA;0;NA
900925;jdbg;0.44;06/05/19;0.48;06/15/18;0.43;06/07/17;0.26;06/21/16
900926;bxb;0.382;06/28/19;0.17;05/08/18;0.13;05/08/17;0.25;05/09/16
900927;wmbg;0;NA;0;NA;0;NA;0;NA
900928;lgbg;0.12;05/16/19;0.12;05/23/18;0;NA;0;NA
900929;jlbg;0.24;07/09/19;0.234;07/17/18;0.232;07/19/17;0.23;06/29/16
900930;sthpb;0;NA;0;NA;0;NA;0;NA
900932;ljbg;0.499;05/30/19;0.466;07/18/18;0.394;06/14/17;0.508;06/15/16
900933;hxbg;1.15;06/03/19;0.28;06/11/18;0.1;06/09/17;0.05;06/07/16
900934;jjbg;0.6;06/11/19;0.56;06/19/18;0.48;06/06/17;0.48;05/06/16
900936;ezbg;0.15;07/16/19;0.1;07/06/18;0.05;07/12/17;0.05;06/21/16
900937;sthdb;0;NA;0;NA;0;NA;0;NA
900938;hkb;0;NA;0;NA;0;NA;0;NA
900939;hlb;0;NA;0;NA;0;NA;0;NA
900940;dmcb;0.02;06/13/19;0.06;05/21/18;0.05;07/03/17;0;NA
900941;dxbg;0.06;07/18/19;0.06;07/17/18;0.06;07/11/17;0.06;06/22/16
900942;hsbg;0.132;06/26/19;0.24;07/02/18;0.19;06/26/17;0.18;06/27/16
900943;kkbg;0.045;07/17/19;0.05;07/27/18;0.03;06/27/17;0.025;07/06/16
900945;hkbg;0;NA;0.018;05/31/18;0.051;06/07/17;0;NA
900946;sttyb;0;NA;0;NA;0;NA;0;NA
900947;zhbg;0.05;07/16/19;0.05;08/13/18;0.1;07/07/17;0;NA
900948;ytbg;0.5;06/03/19;0.455;07/16/18;0.184;06/12/17;0.0085;07/14/16
900951;stdhb;0;NA;0;NA;0;NA;0;NA
900952;jgbg;0.02;06/18/19;0.022;07/11/18;0.01;08/14/17;0.02;06/15/16
900953;kmb;0;NA;0;NA;0;NA;0;NA
900955;hcbg;0;NA;0;NA;0;NA;0;NA
900956;dbbg;0.15;12/04/19;0.1;05/13/19;0.1;07/19/17;0;NA
900957;lybg;0;NA;0;NA;0;NA;0;NA
